Fecha,México,Alemania,Brasil,China,España,Italia,Portugal,Rusia,Turquía,Perú,Sudáfrica,Polonia,Indonesia,Chile,Colombia,Hong Kong,Corea,Malasia,Tailandia,USA,Francia,Grecia
05/05/2016,168.436883223422,17.2956461275239,337.83191773925,127.341933102006,86.9163464944272,118.851578605823,251.34894148809,257.391792687934,261.307867905382,160.936103939844,301.738566504565,86.4119749210274,186.300200621149,100.764239768163,228.646253819114,55.7087406776142,63.6370749300097,163.252086170951,125.112731367977,10.5579996641182,35.5773489914545,1104.48844652321
06/05/2016,163.147225573641,16.8830745850547,332.149065015905,128.462573313655,87.0884046990831,118.860167505233,252.191574836398,258.76930569093,264.395439384262,155.227912799722,300.167709111672,86.5978791445729,190.469092748835,98.4733873675282,224.975992345038,54.9246421491204,64.9305350724996,163.27578746553,125.848935178603,10.2482688962872,35.9045893050448,1138.27127909218
09/05/2016,167.539870205214,16.886749914823,339.881792238669,127.554123398637,84.7364574220953,118.144668561888,252.326358419424,260.470060538967,266.989916156187,157.653936300644,304.477701098948,86.6028464811296,187.071416442704,99.6540192740432,227.911702231673,54.8905285680793,64.0525154293425,159.358685638659,124.100422417021,10.2482688962872,35.5681913742997,1126.86655136212
10/05/2016,163.315278963971,17.2008221343156,327.489681000218,126.431840245613,83.2059506701427,115.852725737176,247.439084306416,256.91836125149,262.79147595173,155.2994142454,301.039099167223,86.4536490013049,184.701333189474,97.9013248972103,224.824086076505,54.8006149478578,62.2809321752674,157.792959458666,124.092175738104,10.7167011377069,35.5754181899813,1110.29768237147
11/05/2016,162.855550084732,17.3878615873772,317.5738010362,125.726832666644,83.6718950151574,115.287496829139,245.191727325899,249.409990255507,261.069194954637,153.407650549376,298.400745398656,86.5983595068328,182.518428313814,97.8214059124167,222.444242389016,54.5982886291029,62.266923740731,157.167459803408,123.027944315164,10.9106832774997,35.5397520759795,1102.33064412073
12/05/2016,162.803214780191,17.5318462623326,316.918528450042,126.068019146053,84.1896540964006,115.273168142404,245.488856608514,248.245509597525,264.39675572708,152.520889106841,294.979511265722,86.0011509281764,181.759801952119,98.3928733170462,219.983543940858,54.5989826227793,63.4544414655258,156.356074040393,123.125202078918,10.9702420042383,35.5438928867616,1103.04813953265
13/05/2016,166.021083487803,17.5347801055086,320.720897535036,127.509888315909,84.8503748559527,116.758379407558,244.993310332729,251.289289389215,266.395574768415,156.881671666395,299.205163019385,86.0979020633478,184.640915216797,99.7857060983285,224.451096260072,54.7335510344181,63.9801421637712,156.83295156876,123.394883562786,11.1190748985644,35.6637540874286,947.590335442635
16/05/2016,165.169958143136,17.5309145481278,321.300048874513,126.945525556668,85.0951096369596,116.858012985538,244.61093141268,245.134153075158,266.448641808459,155.892500231226,307.07798129089,85.4025437702293,184.545607691685,99.397518781579,221.107024549458,54.7509633799186,64.0259230861459,156.17726896245,122.812095973562,10.8468322528916,35.6722840028963,949.439749140458
17/05/2016,168.522027729334,17.5345831993211,324.720441839683,125.033711591729,84.6322940205851,115.191200274111,240.554954254815,245.330970406837,265.015660874232,157.25774274984,304.282831002247,85.2599942612695,183.578003044884,101.277894422816,223.970097023705,54.4287352930447,62.2253192840378,154.091096558121,119.828866297621,11.0937786012471,35.6659198920456,950.488756674716
18/05/2016,173.820456987812,18.0192943885495,338.828743228132,125.09033636459,85.0933888860173,116.86088177245,242.740116663396,254.058617432226,270.074618286247,161.626898024817,311.713854403537,85.4040644245717,185.500258689344,105.864066952308,232.527736613449,54.4307030706405,62.821540663569,155.509214705183,120.018263426927,11.1570725403211,35.6740027851045,952.075591435629
19/05/2016,176.542235770216,18.0281884947137,345.810885085811,127.168424244443,85.8356864785477,117.642947282673,242.91908087066,269.653057831286,276.297772445327,164.51389278438,319.077813863444,85.6108068392259,192.963997885414,108.48362069321,232.752431895005,54.473891508649,64.7471000495296,162.066176624421,121.775687210197,11.2786730851519,35.4149616839117,954.09764501579
20/05/2016,173.387487666987,18.0183700843294,340.233788471934,124.607397531746,85.3844684262451,116.138887607961,241.91249706106,262.710974071614,275.020585217248,163.338567258259,312.30532035969,85.2103202221299,190.376353691166,107.904375991351,231.392561760919,54.3477247573116,63.7351520772235,159.792828133706,121.591018149799,11.0886981180968,35.2960498542656,955.95774607617
23/05/2016,181.366280393548,18.0223817434632,353.574655799916,124.62496255192,86.0127574172512,116.988455393554,242.1155864395,264.841855756007,277.51917009383,168.260952455613,313.970595384461,85.2075048759827,190.744534360007,113.099858220151,238.30229809641,54.56927478023,63.3953807927833,160.944289595729,121.269750765031,14.4468163915524,35.0541103487795,924.117872017029
24/05/2016,177.29412289869,18.0234683458126,346.98754698061,124.805172402226,84.9841681280817,116.760870533319,241.813148254075,257.416113419592,271.397260114247,166.326076817776,308.942289265063,85.0099504717973,192.58999359308,111.24254835211,234.776217798781,54.3513470642895,63.4526142085516,161.217805939755,122.212845451663,14.1262166441465,35.0314160735118,905.340008505811
25/05/2016,173.231731876103,18.0251958827423,343.245249158004,122.230837206985,83.9885343372457,114.330350350979,236.85638984678,257.322659264386,268.627008187627,163.16315302841,309.521669528051,85.0144571888425,188.018245373487,108.646968529172,231.203269653657,53.6854189542973,60.7531225603091,158.36280221359,119.95908184764,13.8792758137215,34.9551256039525,891.502390893017
26/05/2016,171.994295103618,18.0290704324288,341.632124320391,123.020135936755,83.8403876699786,113.106797039566,237.289907372451,256.242123218639,267.005391176925,161.310317943015,309.155830828867,84.8895342965233,188.116208464174,107.860229418134,229.438417685932,53.5234293253033,59.3774032622758,157.074720984945,119.484695267749,13.7641298415229,34.1028730656485,871.652632388241
27/05/2016,171.194535389026,18.0241005258907,342.510605043742,123.20069495113,83.2445959944274,114.134509665688,239.031546783537,257.087473829349,266.770100278827,160.282509100272,309.486364222052,84.8847096776556,187.921271137393,107.256708957266,228.702674281077,53.5165895726362,58.8244829609654,157.054387409684,119.278930928799,13.7275092047224,34.2675060929422,871.831988264989
30/05/2016,171.219306476376,18.0406498237151,342.082277026221,122.807667707554,84.0616722872339,114.057074834315,238.181218125922,257.281536445706,266.604855960042,160.095913217213,309.396136561004,84.8299682831633,186.581525027396,107.004582540372,228.863164756135,53.2141364910273,59.0133168798049,156.865916182027,118.985129349736,13.7275216641949,34.2659202100847,876.405896318992
31/05/2016,171.222056818953,17.6766353688941,355.738245987303,123.426329877869,85.3412971855895,114.736534529466,240.606305979615,254.838305563328,265.935310039657,159.114830317419,311.918538139308,85.1109841103659,188.40645084876,109.300117228338,230.992252973413,53.4405235861282,59.4731899476373,160.385593657051,119.54303484505,13.977530082906,33.9456289682397,896.897694036031
01/06/2016,168.766557431486,17.7841665132662,351.296336779058,124.386015336848,87.1859021835108,116.233365787666,243.373450286168,255.597419119694,266.715886582643,157.730052746115,308.864710160141,85.1118230943709,190.243772790074,108.052550660044,226.582380017526,53.481447292961,60.4057180086168,161.222178212568,120.09128762809,13.6363402645149,34.0682958269921,871.24856234863
02/06/2016,166.563364607923,17.4063449288334,341.980498123751,123.992197987793,87.3190679014747,115.953351868345,246.458358557858,252.959365786591,261.310910026069,154.734677921229,301.661331893712,85.1148692395385,190.915261769529,106.538786145847,225.423448142963,53.4784361842728,60.3292056154728,162.595792476893,120.650934813591,13.913763102022,34.1006919925037,843.932741582154
03/06/2016,164.564324751384,17.3091565877175,329.738478375929,123.13928222033,88.1163307124422,115.914236128536,248.723969576217,243.93258668704,254.007975716642,150.874813851365,293.002954904469,85.1327544871733,189.727349893277,104.468968504148,222.432203752914,54.1840424518399,58.8543515426168,160.712657878091,119.108357458122,13.8257748187136,34.1145213553661,849.27312569505
06/06/2016,157.833672860492,17.234018795594,321.393067726985,122.692963771879,90.0901692423361,119.86826086773,255.111672263788,238.686310606744,248.885130262945,143.847673684334,282.551930825869,85.157834927472,186.951698736081,99.1271071533476,211.291620485561,54.0518746944901,58.7635079577679,158.242771183763,119.279861663834,13.7645959490333,34.591089675571,839.250604589029
07/06/2016,155.340850264555,17.6173986795766,320.330445387719,120.415791380953,89.9019971527151,119.134935223731,254.327264499996,235.488040855119,240.433929380048,140.660513535184,278.581945831245,84.4115318195965,182.467125155488,96.0971845091169,208.235435851441,53.7013212387578,57.6779361622533,154.326396006148,116.822833552418,13.7616199901185,34.5880074102077,847.815345991888
08/06/2016,155.148856659616,17.6171978337843,318.63077363945,120.656667438966,87.3862783999657,119.694855164853,255.161922823472,232.08691105842,237.260973694939,138.914135414576,276.100024217676,80.618885980524,184.445993195587,95.111713474789,205.821005569266,53.6444944362442,57.8998155695734,155.957987114461,116.367340668126,12.2486829110128,34.5898378168047,827.686400438815
09/06/2016,161.469310831098,17.6179216573879,325.707015129788,120.436887991733,90.7301337589945,120.810063366133,256.772663848901,239.01035357365,243.766400484055,144.508927298349,283.27833266539,80.8174664721113,184.45757878605,100.717377029296,208.626106393709,53.8000286177931,57.902537084546,156.149294171132,113.716296470428,12.1804899754915,34.5883623862023,827.667622807364
10/06/2016,168.182236808488,17.6177823186602,338.423193326808,121.283067566425,93.114022492078,126.41068538887,260.725459773891,246.060579730517,249.087797770612,146.360578943327,287.438479714527,83.4064842781092,188.034761083881,107.114803097732,217.002448010241,53.8218975294157,59.3760639370524,158.498264863894,114.871240116674,12.2273756742946,34.5863634315165,827.645906466994
13/06/2016,172.329989736094,17.6952957797678,345.207959878704,126.824007450478,96.1284646239026,133.407728346803,267.259744891176,250.523869347432,252.989516804568,149.64706494687,291.616501363385,84.0555784027746,194.204424027066,109.513894473964,221.720940117798,54.3249161955857,62.3370802620178,163.973057431987,119.237791137146,13.5653455337959,35.5613109264513,857.255960042898
14/06/2016,178.820496909749,17.8584251200725,349.46759995352,129.792629661465,98.3698817766035,137.341524194257,284.843444699045,264.847439021598,266.533715891463,157.902770384033,307.096740493087,94.2621031818296,197.940531932634,114.059937125745,230.840175331162,54.3959907072191,64.05037694313,169.834897396059,120.850510986875,12.9768808945445,37.2563152931655,926.627181216752
15/06/2016,177.640251977179,17.8620694738749,345.059781914001,128.891065309632,95.5881668143975,132.361239494497,281.588559726119,258.083860670734,260.823417239357,157.249030917938,301.241441092148,93.4575272415128,196.676832021933,112.322196141649,230.825253642525,54.0798719872295,62.9398445577292,168.246754499116,120.033277177713,12.9768451395405,36.1817500866361,871.824430749124
16/06/2016,175.21439891071,18.9545050594875,342.323592438251,129.102859371538,98.9647172359468,139.208786867208,303.91034605336,266.500373966421,266.804513388134,156.485639012893,308.924680066578,91.7555456788254,198.941310862377,111.507605544146,233.330165303197,54.0339507301002,64.4450631039607,171.114668705031,121.668010503902,14.1416297411969,37.1828931596439,851.582975641647
