Marca,Submarca,Version,Modelo,Transmision,Combustible,Cilindros,Potencia,Tamaño,Categoria,Rend_Ciudad,Ren_Carretera,Rend_Comb,Rend_Ajustado,CO2,Nox,Calificacion_Gas,Calificacion_ContamAire
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP MAN,2013,MAN,Gasolina,4,160,2,AUTOS COMPACTOS,14.2,21.4,16.73,12.55,186,19,7,8
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP MAN,2013,MAN,Gasolina,4,160,2,AUTOS COMPACTOS,14.2,21.4,16.73,12.55,186,19,7,8
HONDA,FIT,FUN 5PTS 1.5L 4CIL 130HP CVT,2015,CVT,Gasolina,4,130,1.5,AUTOS COMPACTOS,14.2,20.4,17.83,13.37,174,5,8,9
HONDA,FIT,HIT 5PTS 1.5L 4CIL 130HP CVT,2015,CVT,Gasolina,4,130,1.5,AUTOS COMPACTOS,14.2,20.4,17.83,13.37,174,5,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.5L 4CIL 188HP MAN,2015,MAN,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.2,21.1,18.03,13.52,172,9,8,9
MAZDA,MAZDA3,HATCHBACK 5PTS 2.5L 4CIL 188HP AUT,2015,AUT,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.2,21.3,18.08,13.56,172,9,8,9
HONDA,FIT,FUN 5PTS 1.5L 4CIL 130HP CVT,2016,CVT,Gasolina,4,130,1.5,AUTOS COMPACTOS,14.2,20.4,17.83,13.37,174,5,8,9
HONDA,FIT,HIT 5PTS 1.5L 4CIL 130HP CVT,2016,CVT,Gasolina,4,130,1.5,AUTOS COMPACTOS,14.2,20.4,17.83,13.37,174,5,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.5L 4CIL 188HP AUT,2016,AUT,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.2,21.3,18.08,13.56,172,9,8,9
HONDA,FIT,FUN 5PTAS 1.5L 4CIL 130HP CVT,2017,,Gasolina,4,130,1.5,AUTOS COMPACTOS,14.2,20.4,17.83,13.37,174,5,8,9
HONDA,FIT,HIT 5PTAS 1.5L 4CIL 130HP CVT,2017,,Gasolina,4,130,1.5,AUTOS COMPACTOS,14.2,20.4,17.83,13.37,174,5,8,9
MAZDA,MAZDA3,s 4PTAS 2.5L 4CIL 188HP MAN R16,2016,MAN,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,22.1,16.92,12.69,184,8,7,9
MAZDA,MAZDA3,s GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R18,2016,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,21.3,16.71,12.53,186,9,7,9
MAZDA,MAZDA3,s 5PTAS 2.5L 4CIL 188HP AUT R16,2016,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,21.3,16.71,12.53,186,9,7,9
MAZDA,MAZDA3,i TOURING 4PTAS 2.5L 4CIL 188HP MAN R16,2017,MAN,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,22.1,16.92,12.69,184,8,7,9
